English,standard bangla,garo,marma,chakma
Can I help you?,আমি কি সাহায্য করতে পারি?,,ঙা কুহু নুইং হোলঃ?,মুই সাহায্য গুরি পারিম?
Are you hungry?,তুমি কী ক্ষুধার্ত?,না্আ কি অখ্রীঙজক?,ঙা মওয়ে্প ল?, তর পেট পুরের?
Are you going?,তুমি কি যাচ্ছ?,না্আ কি রেঙনো ?,নাং লারেয় ব্যা ল,তুই যট্টে নাহি?
Are you crazy?,তুমি কি পাগল?,না্আ কি বাওদা মা?,নাং আরোউ ল,তুই পাগল নাহি?
Are you serious?,তুমি কি সিরিয়াস?,,নাং আম্হেং ল?,তুই কি সিরিয়াস আগজ?
Can I help you?,আমি কি তোমাকে সাহায্য করতে পারি?,,ঙা নাঃকো কুহু নুইং হোলঃ?,মুই হি তরে সাহায্য গুরি পারিম?
Can you tell me?,আপনি কি আমাকে বলতে পারেন?,না্আ কি আঙখো আগান্না মান্নো?,কো ঙা গো ফ্র ন্হেংরেয় ল?,তুই মরে হোই পারিবি?
Can you hear me?,তুমি কি আমার কথা শুনতে পাচ্ছ?,না্আ কি আ্ঙি কাঁথা ক খিনাঙা ?,নাং ঙা চাগা ক্রারেয় ল?,তুই মো হদা শুনি পারব?
Do you smoke?,তুমি কি ধুমপান কর,না্আ কি মাঙখ্রারাও রিঙয়া?,নাং ছুঁইলি সউতে ল?,তুই হি ধুয়ো হজ?
Have you eaten?,তুমি কি খেয়েছ?,চাজক মা না্আ?,নাং চা ব্যা ল?,তুই হি হিয়োজ?
Can she run fast?,সে দ্রুত দৌড়াতে পারে,বি'য়া থারাকি খাতনা মান্না,য়াসু অম্ ব্রি নহেং রেয়,তে যাদি দাবা দিহ
Have you finished?,তুমি কি শেষ করেছ?,না্আ কি বনেতজক?,নাঃমা টুংব্যা ল?,তুই হি হামান শেজ গুচ্ছস?
She started running.,সে দৌড়াতে শুরু করল,বি'য়া দে খাত্তুঙজক,য়াসু ব্রিইহো চাঃব্যা,তে ধাবা দি শুরু গুচ্ছি
She didn't speak.,তিনি কথা বলেননি,বি'য়া কুসুক আগানজা,য়াসু চাগা ম্প্রলি,তে হদা নোহই
Her eyes were blue.,তার চোখ নীল,,য়াসু মা ক্রোং ম্ক্রযাচি,তা চোকখান নিল
Her smile was good.,তার হাসি ভাল ছিল,বিনি খাদিঙয়া নাম্মামুঙ ,য়াসু রেছা হ্লারে,তা আজি আন দোল এলো
How is your life going?,আপনার জীবন কেমন চলছে?,,কো মা আঃসা ম্জং লারে লে?,ত জীবন আন হেজান চলের?
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে?,না্ঙনি নকনি মানদিরাঙ নাম্মিঙামা ?,নাং রোমা ইংসা রোনা ম্জং লে?,ত গরত বেক্কুন হেজান আগন
I am a student.,আমি একজন ছাত্র,,ঙা ত্য চা ফেসা,মুই ইজ্ঞু ছাত্র
I am going to study.,আমি পড়াশোনা করতে যাচ্ছি,আ্ঙা পরিনা রেঙি্ঙজক,ঙা চা ফেচং লারেয়,মুই পুরিবার যাঙঅর
I am not a teacher.,আমি একজন শিক্ষক নই,,ঙা ত্যউ চা খ্যাসা ম্হ,মুই ইজ্ঞু মাস্টর নয়
I trust you.,আমি তোমাকে বিশ্বাস করি,,ঙা না্ক কো ক্যুং রে,মুই তরে বিচ্ছেস যাঙ
I can do this.,আমি এই কাজ করতে পারি,আ্ঙা ইয়া গামু ক খানা মান্না , ঙা ই অ্লুঃ লু ন্হেংরে,মুই এই হামান গুরি পারিস
I can run fast.,আমি দ্রুত দৌড়াতে পারি,আ্ঙা থারাকি খাতনা মান্না ,ঙা অ্মঃ ব্রি ন্হেং রে,মুই যাদি ধাবা দি পারঙ
I can't believe it.,আমি এটা বিশ্বাস করতে পারছি না,আ্ঙা হিকো মানিনা মানজাঙজক ,ঙা ইচা ম্ক্যুং ন্হেং ,মুই ইয়ান বিচ্ছেস যে নোপারঙ অয়
It's a long story.,এটি একটি দীর্ঘ গল্প,হিগা নাম্মিন র‌ওয়া কাহিনী ,ইচা ত্খু অ্হ্রিথং  ওয়েথু,ইয়ান দি দাঙ অর গল্প
It looks like a bird.,এটা একটি পাখির মত দেখায়,,ইচা ন্হাক্ ন্ঞং ম্রাংরারে,ইয়া ইজ্ঞু পেক অ দঙ দেগায়
It really takes time.,এটা সত্যিই সময় লাগে,হিগা বিবিন হারুমাসা ,ইচা অ্কংকং আখ্যিং লুরেয়,ইয়ান গিচ্ছি সময় লাগে
It was really cheap.,এটা সত্যিই সস্তা ছিল,,ইচা অ্কংকং এ্তেং হিলিরে ,ইয়ান গিচ্ছি হম দাম এলো
It was so noisy.,এটা তাই কোলাহলপূর্ণ ছিল,হিগা খাসুয়ামুঙ,ইচা য়জং কিজু ক্যক্যছাব হি্লিরে,সেনতটাই ইয়ান জ্যাম এলো
It was very difficult.,এটা খুব কঠিন ছিল,হিগা নাম্মিন রাক্কা মুঙ,ইচা আমা খাঃখ্যে লিরে,ইয়ান অনেক হুঠিন এলো
It wasn't expensive.,এটা ব্যয়বহুল ছিল না,,ইচা আতেং মি্হিলি,ইয়ান বেজ দাম ন এলো
It wasn't necessary.,এটা প্রয়োজন ছিল না,হিগা নাঙগিজানমুঙ ,ইচা আ্লো ম্হিলি,ইয়ান দরকার ন এলো
Let me check.,যাচাই করতে দাও,নিনা হন,ক্রিহো পি,যাচাই গুরিবার দে
Let me see.,আমাকে দেখতে দাও,আঙখ নিনা হন,ঙা গো ক্রিহো পি,মরে দিগিবার দে
Can I join you?,আমি আপনাকে যোগ দিতে পারি?,,ঙা কোগো থি ন্হেং হোলঃ?,মুই তরে যোগ দি পারিম?
What can I say?,আমি কি বলতে পারি?,আ্ঙা কি আগান্না মান্নো?,ঙা প্র ন্হেং হোলঃ?,মুই হি হোই পারিম?
Can I eat this?,আমি কি এটা খেতে পারি?,আ্ঙা কি হিকো চা্আনা মান্নো?,ঙা ইচা চা ন্হেং হোলঃ?,মুই হি ইয়ান হে পারিম?
My father is tall.,আমার বাবা লম্বা,আ্ঙি আ্প্ফা র‌উয়া,ঙো বাবা আ্হ্রিঠং,মো বা ওজল
My sister has a job.,আমার বোনের চাকরি আছে,আ্ঙি আবিনি চাকরি দঙয়া ,ঙো মিমি মা সাগ্রি হিঃরে,মো বোন্নুর চাগুরি আগে
My sister is famous.,আমার বোন বিখ্যাত,,,মো বোন্নু নামকরা আগে
My wife is a doctor.,আমার স্ত্রী একজন ডাক্তার,আ্ঙি জিক সাকসা ডাক্তার,ঙা ম্যা ছিক্রিসামা/ডাওঃতমা,মো মোক্কু ইজ্ঞু ডক্টর
"No, I will eat later.","না, আমি পরে খাব","এহে, আ্ঙা জামান চান‌ও","ইন্হি, ঙা নঃউকা চাহো",নাদে মুই পরে হেম
Please come in.,অনুগ্রহ করে ভিতরে আসুন,খাসাফায়েমনা নিঙাচা নাপবো,আঠিদো ওয়ংলেমে,হুজুলি গুরি ডিদিরি আই
Please do that again.,দয়া করে সেটা আবার করুন,খাসাফায়েমনা উখ দাবা দাখবো,য়াচা ত্খ্যাঃ অরঃ ত্ব্রেং প্যাংলঃ মে,হুজুলি গোরঙ অর আরেগ বার গর
Please give it to me.,দয়া করে আমাকে দিন,খাসাফায়েমনা আঙনা হনবো,য়াচা ত্খ্যাঃ ঙাগো পি,হুজুলি গোরঙ অর মরে দে
He praised him.,সে তাকে তারিফ করেছিল,,য়াসু ঠুসুগো অ্কং প্রবঃয়ে,তে তারে প্রশংসা গুচ্ছি
He avoided me.,সে আমাকে এড়িয়ে চলে,,য়াসুু ঙাগো ম্রাং প্যাংব লারে,তে মরে এড়িয়ে চলে
He came last.,সে শেষ এসেছিল,বি'য়া যামান হিবামুঙ ,য়াসু লেলিবঃ,চে সেজবার ইচ্ছি
He goes to school.,সে স্কুলে যায়,বি'য়া স্কুল চা রেঙয়া,য়াসু চাক্যংদো লারে,যে সকুলট যায়
It's a good decision.,এটা একটা ভাল সিদ্ধান্ত,,ইচা ত্খোঃ আ্কং আ্ত্যগ্,ইয়ান এক্কান গোম চিন্তা
That's my book.,যে আমার বই,,য়াচা ঙা চা ঊঃ,ইয়ান মো বিদ্যা
That's my son.,যে আমার ছেলে,,য়াচা ঙা সাঃ,সিবি মোর পো
The dog is dead,কুকুরটি মারা গেছে,আচাকদে সিজক,য়া খুই সিই ফাব্যা,হুগুরবু মুজ্জি
No doubt,কোন সন্দেহ নেই,,,হন সন্দেহ নেই
They got married,তারা বিয়ে করেছে,বিসঙ বিয়া খাজক,য়াস্রো ম্জেকেব্যা,তারা লোলি উয়োন
They have some books,তাদের কিছু বই আছে,বিসঙনি আকিসা কাত্থা দঙয়া,য়াস্রোু মা চাঊঃ ল্য়ংক্খো হিরি,তারার হিজু বোই আগে
They stopped talking,তাদের কথা বলা বন্ধ,বিসঙনি কুসুক আগান্না দনবো,য়াসু মা চ্গা তুংব্যা,তারার হদা হোনা বন্ধ
This is my friend,এই আমার বন্ধু,ইয়া আ্ঙনি বাজু,ইচা ঙা আফাসা,ইবি মোর সমাজ্জি
This bird can't fly,এই পাখি উড়তে পারে না,,ই ন্হাক্ ম্প্যেংন্হেং,এই পেকঘু উরি নোপারে
This decision is final,এই সিদ্ধান্ত চূড়ান্ত,,ইচা আটুং চা্গা,এই বুদ্ধিমান চূড়ান্ত
This is my book,এটা আমার বই,হিগা আঙনি কাত্থা,ইচা ঙা চা ঊঃ,ইয়ান ম বোই
This is my brother,এই আমার ভাই,হিগা আঙনি ভাই,ইচা ঙা আকোসে/ন্ঙ্যিং,ইবি ম ডেই
This is my daughter,এই আমার মেয়ে,হিগা আঙনি দেমেচিক,ইচা ঙা স্মিং,ইবি ম জি
This is not a joke,এটি তামাশা না,ইয়াদে রঙখালা হঙজা,ইচা স্যইংচা ম্হক্,ইয়ান মশকারি নয়
This river is beautiful,এই নদী সুন্দর,ইয়া গাঙ নিথুয়া,ই খ্যং হ্লারে,এই নদীয়ান দোল আগে
This story is true,এই গল্প সত্য,,ইচা আ্কং ওয়েঠু,এই কাহিনীয়ান সত্য আগে
Will it rain today?,আজ কি বৃষ্টি হবে?,দাসাল কি মিক্খা ওয়ানো?,গ্নি মোঃ ওয়রাহলঃ,ইচ্ছি হি ঝড় দিবু?
Will you go for a walk?,তুমি কি বেড়াতে যাবে?,না্আ কি গুরিনা রেঙনো?,নাং লিজং লাহো ল,তুই হি বেরেবার যেবে?
Will he come?,সে কি আসবে?,বি'য়া কি হিবানো?,য়া সু লেহুঁ ল,তে হি এবো?
Will you kill me?,তুমি কি আমাকে মেরে ফেলবে?,না্আ কি আঙখো মারিয়ে গালনো?,য়াসু ঙাগো সেব্ল হব্যা ল?,তুই হি মরে মারি ফেলেবে নাহি?
Will you love me?,তুমি কি আমাকে ভালোবাসবে?,না্আ কি আঙখো নাম্মি নিকঙা?,নাং ঙা গো ক্র হো ল?,তুই হি মরে হোজ পেরে?
Will you come here?,তুমি কি এখানে আসবে,না্আ কি হিচা রিবানো?,নাং ইদু লেহো ল?,তুই হি ইয়োট এবে?
You are so beautiful,আপনি খুব সুন্দর,না্আ নাম্মিন নিথুয়া ,কো কগং হ্লাবারে,তুই অনেক দোল
You are so brave,আপনি খুব সাহসী,,নাং ত্ফি ব্যাং ম্ক্রক্,তুই অনেক সাহসী
You broke the rules,আপনি নিয়ম ভঙ্গ করেছেন,,,তি নিয়ম আন ভাঙগোজ করেছেন
Do you love me or not?,তুমি আমাকে ভালোবাসো কি না,না্আ আঙখো নাম্মি নিকঙা মা?,নাং ঙা গো ক্রোতি ল ম্ক্র ল,তুই মোরে হোজ পাস নাহি?
You made me happy,তুমি আমাকে খুশি করেছো,না্আদে আঙখো খাদিঙয়েতজক,নাং ঙা গো অপ্য পিরে,তুই মরে হুজি গুচ্ছস
You can go,তুমি যেতে পার,না্আ রেঙনা মান্না,নাং লা ন্হেং মি ব্যা,তুই যে পারস
You should sleep,তোমার তো ঘুমানো উচিত,না্ঙিদেতো থুনা নাঙগিনো,নাং গা ওউই রাহো টেং রে ব্যা,তর ঘুম জানা দরকার
I'm not bothering you,আমি তোমাকে বিরক্ত করছি না,,ঙা নাক্ কো ম্জালে,মুই তরে বিরক্ত নগরঙ অর
Whose idea is this?,এটা কার ধারণা?,,ইচা আসু ত্য়ওচা লে,ইহান হার ধারনা?
Thanks for your help,আপনার সাহায্যের জন্য ধন্যবাদ,,কোউরে কিজু কোগো কিজুতাংবারে,মরে সাহায্য গুরিবার লাই তরে জু জু
Thank you for coming,আসার জন্য আপনাকে ধন্যবাদ,হিবানি গুম্মুন মিথেলা,লেটিঃ কিজু কোগো কিজুতাংবারে,এবার লাই তরে জু জু
How are you?,তোমার কী অবস্থা,,নাং ম্জংহীরে লে,তর হি অবস্থা?
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে,নাঙনি নকনি মান্দিরাঙ নামিঙামা?,নাং রো ইংসারো ম্জং হিরিলে ,তর বাসাত বেক্কুন হেজান আগন?
It's nice to see you,তোমাকে দেখে ভাল লাগলো,নাঙখ নিকিমনা নাম্মি নিকজক,নাক্ কো ম্রাং ব প্যহারে,তরে সেনেই গম লাগিলু 
I don't like it,আমি এটা পছন্দ করি না,আ্ঙা হিখো সিনজা ,ইচা ঙা মা্সায়া,মুই ইয়াান গম নোপাঙ
I have no idea,আমার কোন ধারণা নাই,আ্ঙাদে হাইজা হিকদে ,ঙা ত্খোবাং মি্সি,মোর হনো ধারনা নাই
Thank you very much,তোমাকে অনেক ধন্যবাদ,নাঙখো নাম্মিন মিথেলা,নাক্ কো আ্মা কিজুটাং রে,তরে অনেক ধন্যবাদ
See you next week,পরের সপ্তাহে দেখা হবে,যামান্নি সাল্লো নিকগেন,লেমি খালেয় মা আ্তুই ক্যামে,পরে সাপ্তাত দেগা অব
See you next year,সামনের বছর দেখা হবে,মিখাঙ বিলসিও নিকগেন,লেমে ন্হক্ মা আ্তুই ক্যামে,পরে বজর দেগা অব
See you soon,শীঘ্রই আবার দেখা হবে,থারাকি দা্আবা নিকগেন,আয়ং প্রেংব আতুই ক্যামে,যদি আরো দেগা অব
See you tomorrow,আগামীকাল দেখা হবে,আমবুনো নিকগেন,ন্হাক্ ফ্রেং আতুই ক্যামে,হিলি দেগা অব
I'm crazy about you,আমি তোমার সম্পর্কে পাগল,আ্ঙা নাঙনি গুমুন‌ও বাওদা,ঙা নাাক্ মা রুউ রে,মুই তরলাই পাগল
I'm crazy with you.,আমি তোমার সাথে পাগল,আ্ঙা নাঙমু লগে বাওদা,ঙা নাক্ লা ব রুউরে,মুই তরলাই পাগল
It's nice to meet you,তোমার সাথে দেখা করে ভালো লাগলো,নাঙখ নিক্কি নাম্মি নিকজক ,নাং লা আতুই খেংব কংহারে,তর লোই দেগা ওনেই গম লাক্কি
It's so cheap,এটা খুব সস্তা,,ইচা এর্মা আঁটেং,ইয়ান অনেেক দাম হম
Just a moment,শুধু একটা মুহূর্ত,গিসা সময়‌ও,ত্ছংস্যে ব্যা/ ত্খ্যাঃসে,বানা এক্কান মুহুর্ত
You're so nice,আপনি খুব চমৎকার,না্আদে গাসুওয়া আহা নে ,কো আমা আ্স্যাক্যারে,তুই অনেক চমৎকার
I really appreciate it,আমি সত্যিই এটার প্রশংসা করছি,আ্ঙা বিবিন হিনি প্রশংসা খঙজক,,মুই গিচ্ছি ইহান নাম গুচ্ছোং
You're so smart,আপনি খুব স্মার্ট,না্আদে নাম্মিন গাসুওয়া,কো আ্মা পইংঞাস্যাং ,তুই অনেক স্মার্ট
I really miss you,আমি তোমাকে সত্যি মিস করছি,আ্ঙা নাঙখো নাম্মিন গিসিক রাঙজক,ঙা নাক্ কো অ্কংকং অউমিংরে,মুই গিছি তরে অনেক মিস গরঙওর
Will you help me?,আপনি কি আমাকে সাহায্য করবেন?,না্আ কি আঙমুঙ অকিষা রুমফানা মান্নো?,কো ঙাগো ত্খ্যাক্ কু ন্হেং হো ল?,তুই হি মরে সাহায্য গুরিবি?
Will you stay home?,তুমি কি বাড়িতে থাকবে,না্আ কি ন‌ওক্কো দঙনো?,নাং ইংমা নিং হো ল?,তুই হি গরত থেবে
Do you need anything?,তোমার কোন কিছু দরকার?,নাঙি কি মামুঙ নাঙগিনো?,নাক্ মা ত্খুক্ ম্সা লু হো ল?,তোর হিচ্ছু লাগিবু?
Do you need this book?,তোমার কি এই বইটা দরকার?,নাঙি কি ইয়া খাট্টা ক নাঙগিনো?,নাক্ মা ই চাক্উঃ লু হো ল?,তর হি এই বিদ্যা আন দরকার?
Are you feeling better?,আপনি ভাল অনুভব করছেন?,না্আ কি নাম্মা ,কো মা কং রে তুইরে ল?,তুই গম অনুভব গরর?
Come and see me now,এসো এবং এখন আমাকে দেখতে,হিবা আর দাও আঙখো নিনা,ঙা গো আ্গু ক্রিজং ল্লে,আই মরে সে জা
Come with your family,আপনার পরিবারের সাথে আসুন,নাঙনি নকনি মান্দিরাঙমু লগে হিবা,কো ইংসা লা ল্লে,ত পরিবার সুদ্ধো এজো
I'm very busy this week,আমি এই সপ্তাহে খুব ব্যস্ত,আঙাদে ইয়া সপ্তাহে নাম্মিন বিজি ,ঙামা ই খাঃলে মা আ্মা আ্লু হীরে,মুই এই সাপ্তাত অনেক ব্যস্ত
Have a lot of money,অনেক টাকা আছে,বাঙি থাঙখা দঙয়া,এর্মা টেঙা হীরে,বেজ টেঙা আগন
They're good people,তারা ভালো মানুষ,বিসঙ নাম্মা মান্দি,য়াস্রু আ্মা আঁকং লু,তারা গম মানুজ
We need some money,আমাদের কিছু টাকা দরকার,চিঙনি আকিসা থাঙখা নাঙগিনোমুও,ঙ্গমা টেঙা তে্কে লুরে,আমার হিজু টেঙা লাগিবাক
What are you doing today?,তুমি আজ কি করছ?,না্আ দাসাল ম দাকনো?,নাং গি্নি আ্চ্যা প্যাংরেলে ,তুই ইচ্ছি হি গরর?
What can I do for you?,আমি আপনার জন্য কি করতে পারি?,আ্ঙা নাঙনি গুমুন‌ ম দাকনা মান্না?,ঙা কো কিজু আ্চা প্যাংন্হেং হুলে,মুই তর লাই হি গরি পারঙ?
What was the word for?,শব্দটা কিসের ছিল?,ইয়া খিগুয়া মনি মুঙ,য়াচা আ্চা আ্সেং লে?,হিয়ো শব্দ?
When can we eat?,আমরা কখন খেতে পারি?,চিঙ্আ বাসকো চানা মান্নো?,ঙো জা্খা চা হুলে,আমি হক্কেনে হেবং?
When do you study?,আপনি কখন পড়াশোনা করেন?,না্আ বাসকো পরিঙা?,কো জ্খা চা ফেটে লে,তুই হক্কেনে বিদ্যা শিক্কোস?
When did it end?,এটা কখন শেষ হয়েছিল?,হিগা বাসকো বন্নামুঙ?,ইচা জা্খা টুংলি রে লে,ইয়ান হক্কেনে সেজ অল?
Tell me something about your family,আপনার পরিবার সম্পর্কে কিছু বলেন,নাঙনি নকগুমুন খ রায়ৈ মামুঙ আগানবো,কো রো ইংসা গো ইউব  তখুমসা প্র,তু পরিবার সম্বন্ধে হিচ্ছু হ?
Do you understand?,তুমি কি বুঝতে পেরেছো?,না্আ কি হাইনা মানজক?,নালেরি ল নাং?,তুই হি বুজি পাজ্জোস
Do you love me?,তুমি কি আমাকে ভালোবাসো?,না্আ কি আঙখো সিনুঙয়া?,নাং ঙা গো ক্রতে ল?,তুই হি মরে হোজ পাস?
Don't talk about work,কাজের কথা বলবেন না,গামু নি কুসুক খ আগানজানো?,অ্লু চ্গাগো ম্প্রগ্যে,হামো হদা নোহোজ
How can I help you?,আপনাকে কিভাবে সাহায্য করতে পারি?, নাঙনি গুমুন‌ ম দাকনা মান্না?,কোগো ম্জং প্য়াংব কোওন্হেং হোলে?,মুই তরে হেঙোরি সাহায্য গুরিম?
How deep is the lake?,লেকের গভীরতা কত?,,য়াক্ ওয়েই ম্নহ আ্নাক্ লে?,লেক্কানোর গভীর হিদিক্কিন
I'm proud of my son,আমি আমার ছেলের জন্য গর্বিত,আ্ঙা আ্ঙি দিসানি গানদানা ,ঙা ঙা সা কিজু ম্যান্হা ঠংব নিং রে,মুুই মো পবুর লাই গর্বিত
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,আ্ঙা নাঙখো খাও নাঙগিনি গুমুন খেমা হামুঙা ,ঙা কোগো জালেরে কিজু খোওং হ্রুওয়ে,মুই তরেে বেজাল গুরিবার লাই দুঃখিত
Can I open the door?,আমি কি দরজা খুলতে পারি?,আ্ঙা কি দরজা খুলিনা মান্না?,ঙা তৈংখা ল্হন্হেং হ ল?,মুই হি দোর আন হুলি পারিম?
Thank you for everything,সবকিছুর জন্য ধন্যবাদ,দুমদাকনি গুমুন মিথেলা,আ্কুংজুং কিজু কিজুতাংরে,বেক্কানির লাই জু জু
Do you have any ideas about this?,আপনার কোন ধারণা আছে এই ব্যাপারে?,,কো য়াছাগো য়ুব ত্খুমসা সিক্ড়ি ল,তর হনো ধারনা আগে এই ব্যাপারে?
Where are you from?,তুমি কোথা থেকে আসছো,না্আ বাচ্চানি হিবা,নাং আ্চগা লেটে লে?,তুই হট্টুন ইচ্ছোস?
Let me think about it,আমাকে এটা সম্পর্কে চিন্তা করতে দিন,,ঙাগো ইচাগো য়ুব ছাংখ্রাহো পি,মরে এই সম্পর্কে চিদে গুরি দে
Will you stop talking?,তুমি কি কথা বলা বন্ধ করবে?,না্আ কি সুক দঙনো ,নাং ইংচা প্রহো তেংহো ল,তুই হি হদা হনা থামেবে?
Do you want to go?,আপনি কি যেতে চান?,না্আ কি রেঙনা হামিঙা?,কো লা খ্যাংরে ল?,তুই হি যেবার চাস?
Will you teach me?,তুমি কি আমাকে শেখাবে?,না্আ কি আঙনা সিহাইনো?,নাং ঙা গো সাং হো ল?,তুই হি মোরে সেগেবে?
Close the door,দরজা বন্ধ করুন,দরজাখো চুপ্পেত ,তৈংখা ত্খ্যাক পুঁই ল মে,দোর আন বান
It was a very big room,এটি একটি খুব বড় রুম ছিল,হিগা দাল্লা নকমুঙ ,য়াচা এর্মা ত আ্সেং হিলিরে ,ইহান এক্কান দাঙর ঘর এলো
He agreed with me,তিনি আমার সাথে একমত,বি'য়া আঙমু লগে ,য়াসু ঙালা চ্গা তখৈংব্যা,তে মর লোই সহমত
We started walking,আমরা হাঁটতে শুরু করলাম,চিঙাদে রামারিঙজক ,ঙো সোওয়ারেব্যা,আমিি আদানা শুরু গুচ্ছি
We can change,আমরা পরিবর্তন করতে পারি,,ঙো ল্হি ন্হেং রে,আমি পরিবর্তন গুরি পারি
